orthoGp24140: Tgondii|TGME49_293210-t26_1-p1
orthoGp24141: Tgondii|TGME49_293270-t26_1-p1
orthoGp24142: Tgondii|TGME49_293290-t26_1-p1
orthoGp24143: Tgondii|TGME49_293520-t26_1-p1
orthoGp24144: Tgondii|TGME49_294025-t26_1-p1
orthoGp24145: Tgondii|TGME49_294030-t26_1-p1
orthoGp24146: Tgondii|TGME49_294225-t26_1-p1
orthoGp24147: Tgondii|TGME49_294285-t26_1-p1
orthoGp24148: Tgondii|TGME49_294660-t26_1-p1
orthoGp24149: Tgondii|TGME49_294680-t26_1-p1
orthoGp24150: Tgondii|TGME49_294705-t26_1-p1
orthoGp24151: Tgondii|TGME49_294760-t26_1-p1
orthoGp24152: Tgondii|TGME49_294805-t26_1-p1
orthoGp24153: Tgondii|TGME49_294980-t26_1-p1
orthoGp24154: Tgondii|TGME49_294990-t26_1-p1
orthoGp24155: Tgondii|TGME49_295080-t26_1-p1
orthoGp24156: Tgondii|TGME49_295105-t26_1-p1
orthoGp24157: Tgondii|TGME49_295125-t26_1-p1
orthoGp24158: Tgondii|TGME49_295130-t26_1-p1
orthoGp24159: Tgondii|TGME49_295140-t26_1-p1
orthoGp24160: Tgondii|TGME49_295390-t26_1-p1
orthoGp24161: Tgondii|TGME49_295685-t26_1-p1
orthoGp24162: Tgondii|TGME49_295750-t26_1-p1
orthoGp24163: Tgondii|TGME49_295945-t26_1-p1
orthoGp24164: Tgondii|TGME49_296000-t26_1-p1
orthoGp24165: Tgondii|TGME49_296015-t26_1-p1
orthoGp24166: Tgondii|TGME49_296020-t26_1-p1
orthoGp24167: Tgondii|TGME49_207360-t26_1-p1
orthoGp24168: Tgondii|TGME49_207420-t26_1-p1
orthoGp24169: Tgondii|TGME49_207690-t26_1-p1
orthoGp24170: Tgondii|TGME49_208080-t26_1-p1
orthoGp24171: Tgondii|TGME49_208722-t26_1-p1
orthoGp24172: Tgondii|TGME49_209005-t26_1-p1
orthoGp24173: Tgondii|TGME49_209095-t26_1-p1
orthoGp24174: Tgondii|TGME49_209112-t26_1-p1
orthoGp24175: Tgondii|TGME49_209120-t26_1-p1
orthoGp24176: Tgondii|TGME49_209410-t26_1-p1
orthoGp24177: Tgondii|TGME49_209780-t26_1-p1
orthoGp24178: Tgondii|TGME49_210100-t26_1-p1
orthoGp24179: Tgondii|TGME49_321370-t26_1-p1
orthoGp24180: Tgondii|TGME49_321460-t26_1-p1
orthoGp24181: Tgondii|TGME49_321480-t26_1-p1
orthoGp24182: Tgondii|TGME49_321510-t26_1-p1
orthoGp24183: Tgondii|TGME49_321685-t26_1-p1
orthoGp24184: Tgondii|TGME49_220850-t26_1-p1
orthoGp24185: Tgondii|TGME49_221240-t26_1-p1
orthoGp24186: Tgondii|TGME49_221275-t26_1-p1
orthoGp24187: Tgondii|TGME49_221415-t26_1-p1
orthoGp24188: Tgondii|TGME49_221455-t26_1-p1
orthoGp24189: Tgondii|TGME49_221518-t26_1-p1
orthoGp24190: Tgondii|TGME49_221675-t26_1-p1
orthoGp24191: Tgondii|TGME49_221855-t26_1-p1
orthoGp24192: Tgondii|TGME49_221860-t26_1-p1
orthoGp24193: Tgondii|TGME49_221895-t26_1-p1
orthoGp24194: Tgondii|TGME49_221905-t26_1-p1
orthoGp24195: Tgondii|TGME49_222075-t26_1-p1
orthoGp24196: Tgondii|TGME49_222150-t26_1-p1
orthoGp24197: Tgondii|TGME49_222245-t26_1-p1
orthoGp24198: Tgondii|TGME49_222305-t26_1-p1
